id,nombre,id_area,sueldo
1,Ana,3,1900
2,Luis,3,3300
3,Pedro,1,6500
4,Carlos,1,6500
5,Maria,5,2300
6,Jose,3,2000
7,Lucia,1,3100
8,Diego,1,5600
9,Sofia,1,3000
10,Andrea,3,6200
11,Marco,2,3200
12,Elena,2,3500
13,Daniel,4,1800
14,Valeria,4,2800
15,Miguel,3,3900
16,Camila,1,3100
17,Jorge,5,3900
18,Paola,1,4200
19,Fernando,1,4000
20,Rosa,3,2000
21,Alberto,3,5200
22,Claudia,1,4200
23,Ricardo,1,3600
24,Patricia,4,5700
25,Sebastian,5,4100
26,Gabriela,3,6300
27,Martin,1,6000
28,Natalia,1,3600
29,Oscar,5,3200
30,Diana,5,4200
31,Alejandro,1,5800
32,Carolina,4,2800
33,Eduardo,2,3100
34,Fiorella,3,6200
35,Gustavo,5,5900
36,Mariana,1,5800
37,Renzo,1,6400
38,Milagros,1,4700
39,Hector,2,5800
40,Veronica,3,3200
41,Andres,3,2100
42,Daniela,1,2000
43,Victor,4,4300
44,Silvia,1,3100
45,Raul,5,5400
46,Karla,5,3800
47,Cristian,1,4900
48,Lorena,2,5900
49,Manuel,2,3400
50,Teresa,1,6500
51,Ana,3,3400
52,Luis,3,4500
53,Pedro,5,4300
54,Carlos,2,2600
55,Maria,2,2300
56,Jose,4,2500
57,Lucia,1,2800
58,Diego,4,4500
59,Sofia,3,4200
60,Andrea,2,4700
61,Marco,2,5300
62,Elena,5,1800
63,Daniel,3,2500
64,Valeria,3,5200
65,Miguel,4,5900
66,Camila,2,3600
67,Jorge,2,4700
68,Paola,1,6400
69,Fernando,5,3400
70,Rosa,5,2900
71,Alberto,2,2400
72,Claudia,5,3700
73,Ricardo,4,5000
74,Patricia,3,2700
75,Sebastian,2,2800
76,Gabriela,2,5100
77,Martin,5,5600
78,Natalia,2,1900
79,Oscar,1,4100
80,Diana,5,3700
81,Alejandro,1,3300
82,Carolina,5,2300
83,Eduardo,1,4900
84,Fiorella,4,5200
85,Gustavo,4,2600
86,Mariana,3,5300
87,Renzo,1,5100
88,Milagros,5,4500
89,Hector,5,5200
